Name,Specialization,Title,Email,Web page
Daniel Butler,,,,polisci.wustl.edu/faculty/daniel-butler
Jeremy  Caddel,,,,polisci.wustl.edu/faculty/jeremy-caddel
Randall Calvert,,,,polisci.wustl.edu/Randall_Calvert
Justin Fox,,,,polisci.wustl.edu/faculty/justin-fox
James L. Gibson,,,,polisci.wustl.edu/James_Gibson
Kenneth Lowande,,,,polisci.wustl.edu/faculty/kenneth-lowande
William Lowry,,,,polisci.wustl.edu/William_Lowry
Gary Miller,,,,polisci.wustl.edu/GaryJ_Miller
Jacob Montgomery,,,,polisci.wustl.edu/faculty/jacob-montgomery
Andrew  Reeves,,,,polisci.wustl.edu/faculty/andrew-reeves
Betsy Sinclair,,,,polisci.wustl.edu/faculty/betsy-sinclair
Steven S. Smith,,,,polisci.wustl.edu/steven_smith
James F.  Spriggs II,,,,polisci.wustl.edu/james_spriggs
Michael M. Bechtel,,,,polisci.wustl.edu/faculty/michael-bechtel
Brian Crisp,,,,polisci.wustl.edu/pages.wustl.edu/crisp
Matthew Gabel,,,,polisci.wustl.edu/Matthew_Gabel
James L. Gibson,,,,polisci.wustl.edu/James_Gibson
Sunita Parikh,,,,polisci.wustl.edu/Sunita_Parikh
Guillermo Rosas,,,,polisci.wustl.edu/guillermo_rosas
Norman Schofield,,,,polisci.wustl.edu/norman_schofield
Itai Sened,,,,polisci.wustl.edu/itai_sened
Margit Tavits,,,,polisci.wustl.edu/margit_tavits
Randall Calvert,,,,polisci.wustl.edu/Randall_Calvert
Justin Fox,,,,polisci.wustl.edu/faculty/justin-fox
Keith  Schnakenberg,,,,polisci.wustl.edu/faculty/keith-schnakenberg
Norman Schofield,,,,polisci.wustl.edu/norman_schofield
Itai Sened,,,,polisci.wustl.edu/itai_sened
Michael M. Bechtel,,,,polisci.wustl.edu/faculty/michael-bechtel
Matthew Gabel,,,,polisci.wustl.edu/Matthew_Gabel
Jeff Gill,,,,polisci.wustl.edu/Jeff_Gill
Jacob Montgomery,,,,polisci.wustl.edu/faculty/jacob-montgomery
Betsy Sinclair,,,,polisci.wustl.edu/faculty/betsy-sinclair
Clarissa Rile Hayward,,,,polisci.wustl.edu/ClarissaRile_Hayward
Frank Lovett,,,,polisci.wustl.edu/Frank_Lovett
Ian MacMullen,,,,polisci.wustl.edu/IanR_MacMullen
Andrew Rehfeld,,,,polisci.wustl.edu/andrew_rehfeld
Daniel Butler,American,AssociateProfessor,,http://polisci.wustl.edu/faculty/daniel-butler
Daniel Butler,American,AssociateProfessor,,http://polisci.wustl.edu/faculty/daniel-butler
Daniel Butler,American,AssociateProfessor,,http://polisci.wustl.edu/faculty/daniel-butler
Jeremy  Caddel,American,PoliticalScienceLecturer,,http://polisci.wustl.edu/faculty/jeremy-caddel
Randall Calvert,Formal Theory,ThomasF.EagletonUniversityProfessorofPublicAffairsandPoliticalScience,,http://polisci.wustl.edu/Randall_Calvert
Justin Fox,Formal Theory,AssociateProfessor,,http://polisci.wustl.edu/faculty/justin-fox
James L. Gibson,Comparative,SidneyW.SouersProfessorofGovernment,,http://polisci.wustl.edu/James_Gibson
Kenneth Lowande,American,PostdoctoralResearchAssociate,,http://polisci.wustl.edu/faculty/kenneth-lowande
William Lowry,American,Professor,,http://polisci.wustl.edu/William_Lowry
Gary Miller,American,ProfessorEmeritus,,http://polisci.wustl.edu/GaryJ_Miller
Jacob Montgomery,Methodology,AssistantProfessor,,http://polisci.wustl.edu/faculty/jacob-montgomery
Andrew  Reeves,American,AssociateProfessor,,http://polisci.wustl.edu/faculty/andrew-reeves
Betsy Sinclair,Methodology,AssociateProfessor,,http://polisci.wustl.edu/faculty/betsy-sinclair
Steven S. Smith,American,KateM.GreggDistinguishedProfessorofSocialScience,,http://polisci.wustl.edu/steven_smith
James F.  Spriggs II,American,SidneyW.SouersProfessorofGovernment,,http://polisci.wustl.edu/james_spriggs
Michael M. Bechtel,International Political Economy,AssociateProfessor,,http://polisci.wustl.edu/faculty/michael-bechtel
Brian Crisp,Comparative,Professor,,http://polisci.wustl.edu/pages.wustl.edu/crisp
Matthew Gabel,International Political Economy,"Professor,DepartmentofPoliticalScience",,http://polisci.wustl.edu/Matthew_Gabel
James L. Gibson,Comparative,SidneyW.SouersProfessorofGovernment,,http://polisci.wustl.edu/James_Gibson
Sunita Parikh,Comparative,AssociateProfessor,,http://polisci.wustl.edu/Sunita_Parikh
Guillermo Rosas,Comparative,"AssociateProfessor,DepartmentofPoliticalScience",,http://polisci.wustl.edu/guillermo_rosas
Norman Schofield,Formal Theory,Dr.WilliamTaussigProfessorofPoliticalEconomy,,http://polisci.wustl.edu/norman_schofield
Itai Sened,Formal Theory,"Professor,DepartmentofPoliticalScience",,http://polisci.wustl.edu/itai_sened
Margit Tavits,Comparative,Professor,,http://polisci.wustl.edu/margit_tavits
Randall Calvert,Formal Theory,ThomasF.EagletonUniversityProfessorofPublicAffairsandPoliticalScience,,http://polisci.wustl.edu/Randall_Calvert
Justin Fox,Formal Theory,AssociateProfessor,,http://polisci.wustl.edu/faculty/justin-fox
Keith  Schnakenberg,Formal Theory,AssistantProfessor,,http://polisci.wustl.edu/faculty/keith-schnakenberg
Norman Schofield,Formal Theory,Dr.WilliamTaussigProfessorofPoliticalEconomy,,http://polisci.wustl.edu/norman_schofield
Itai Sened,Formal Theory,"Professor,DepartmentofPoliticalScience",,http://polisci.wustl.edu/itai_sened
Michael M. Bechtel,International Political Economy,AssociateProfessor,,http://polisci.wustl.edu/faculty/michael-bechtel
Matthew Gabel,International Political Economy,"Professor,DepartmentofPoliticalScience",,http://polisci.wustl.edu/Matthew_Gabel
Jeff Gill,Methodology,"Professor,DepartmentofPoliticalScience,Arts&Sciences",,http://polisci.wustl.edu/Jeff_Gill
Jacob Montgomery,Methodology,AssistantProfessor,,http://polisci.wustl.edu/faculty/jacob-montgomery
Betsy Sinclair,Methodology,AssociateProfessor,,http://polisci.wustl.edu/faculty/betsy-sinclair
Clarissa Rile Hayward,Political Theory,"AssociateProfessor,PoliticalScience",,http://polisci.wustl.edu/ClarissaRile_Hayward
Frank Lovett,Political Theory,AssociateProfessor,,http://polisci.wustl.edu/Frank_Lovett
Ian MacMullen,Political Theory,AssociateProfessor,,http://polisci.wustl.edu/IanR_MacMullen
Andrew Rehfeld,Political Theory,AssociateProfessor,,http://polisci.wustl.edu/andrew_rehfeld
Daniel Butler,American,AssociateProfessor,,http://polisci.wustl.edu/faculty/daniel-butler
Jeremy  Caddel,American,PoliticalScienceLecturer,,http://polisci.wustl.edu/faculty/jeremy-caddel
Randall Calvert,Formal Theory,ThomasF.EagletonUniversityProfessorofPublicAffairsandPoliticalScience,,http://polisci.wustl.edu/Randall_Calvert
Justin Fox,Formal Theory,AssociateProfessor,,http://polisci.wustl.edu/faculty/justin-fox
James L. Gibson,Comparative,SidneyW.SouersProfessorofGovernment,,http://polisci.wustl.edu/James_Gibson
Kenneth Lowande,American,PostdoctoralResearchAssociate,,http://polisci.wustl.edu/faculty/kenneth-lowande
William Lowry,American,Professor,,http://polisci.wustl.edu/William_Lowry
Gary Miller,American,ProfessorEmeritus,,http://polisci.wustl.edu/GaryJ_Miller
Jacob Montgomery,Methodology,AssistantProfessor,,http://polisci.wustl.edu/faculty/jacob-montgomery
Andrew  Reeves,American,AssociateProfessor,,http://polisci.wustl.edu/faculty/andrew-reeves
Betsy Sinclair,Methodology,AssociateProfessor,,http://polisci.wustl.edu/faculty/betsy-sinclair
Steven S. Smith,American,KateM.GreggDistinguishedProfessorofSocialScience,,http://polisci.wustl.edu/steven_smith
James F.  Spriggs II,American,SidneyW.SouersProfessorofGovernment,,http://polisci.wustl.edu/james_spriggs
Michael M. Bechtel,International Political Economy,AssociateProfessor,,http://polisci.wustl.edu/faculty/michael-bechtel
Brian Crisp,Comparative,Professor,,http://polisci.wustl.edu/pages.wustl.edu/crisp
Matthew Gabel,International Political Economy,"Professor,DepartmentofPoliticalScience",,http://polisci.wustl.edu/Matthew_Gabel
James L. Gibson,Comparative,SidneyW.SouersProfessorofGovernment,,http://polisci.wustl.edu/James_Gibson
Sunita Parikh,Comparative,AssociateProfessor,,http://polisci.wustl.edu/Sunita_Parikh
Guillermo Rosas,Comparative,"AssociateProfessor,DepartmentofPoliticalScience",,http://polisci.wustl.edu/guillermo_rosas
Norman Schofield,Formal Theory,Dr.WilliamTaussigProfessorofPoliticalEconomy,,http://polisci.wustl.edu/norman_schofield
Itai Sened,Formal Theory,"Professor,DepartmentofPoliticalScience",,http://polisci.wustl.edu/itai_sened
Margit Tavits,Comparative,Professor,,http://polisci.wustl.edu/margit_tavits
Randall Calvert,Formal Theory,ThomasF.EagletonUniversityProfessorofPublicAffairsandPoliticalScience,,http://polisci.wustl.edu/Randall_Calvert
Justin Fox,Formal Theory,AssociateProfessor,,http://polisci.wustl.edu/faculty/justin-fox
Keith  Schnakenberg,Formal Theory,AssistantProfessor,,http://polisci.wustl.edu/faculty/keith-schnakenberg
Norman Schofield,Formal Theory,Dr.WilliamTaussigProfessorofPoliticalEconomy,,http://polisci.wustl.edu/norman_schofield
Itai Sened,Formal Theory,"Professor,DepartmentofPoliticalScience",,http://polisci.wustl.edu/itai_sened
Michael M. Bechtel,International Political Economy,AssociateProfessor,,http://polisci.wustl.edu/faculty/michael-bechtel
Matthew Gabel,International Political Economy,"Professor,DepartmentofPoliticalScience",,http://polisci.wustl.edu/Matthew_Gabel
Jeff Gill,Methodology,"Professor,DepartmentofPoliticalScience,Arts&Sciences",,http://polisci.wustl.edu/Jeff_Gill
Jacob Montgomery,Methodology,AssistantProfessor,,http://polisci.wustl.edu/faculty/jacob-montgomery
Betsy Sinclair,Methodology,AssociateProfessor,,http://polisci.wustl.edu/faculty/betsy-sinclair
Clarissa Rile Hayward,Political Theory,"AssociateProfessor,PoliticalScience",,http://polisci.wustl.edu/ClarissaRile_Hayward
Frank Lovett,Political Theory,AssociateProfessor,,http://polisci.wustl.edu/Frank_Lovett
Ian MacMullen,Political Theory,AssociateProfessor,,http://polisci.wustl.edu/IanR_MacMullen
Andrew Rehfeld,Political Theory,AssociateProfessor,,http://polisci.wustl.edu/andrew_rehfeld
Daniel Butler,American,AssociateProfessor,,http://polisci.wustl.edu/faculty/daniel-butler
Jeremy  Caddel,American,PoliticalScienceLecturer,,http://polisci.wustl.edu/faculty/jeremy-caddel
Randall Calvert,Formal Theory,ThomasF.EagletonUniversityProfessorofPublicAffairsandPoliticalScience,,http://polisci.wustl.edu/Randall_Calvert
Justin Fox,Formal Theory,AssociateProfessor,,http://polisci.wustl.edu/faculty/justin-fox
James L. Gibson,Comparative,SidneyW.SouersProfessorofGovernment,,http://polisci.wustl.edu/James_Gibson
Kenneth Lowande,American,PostdoctoralResearchAssociate,,http://polisci.wustl.edu/faculty/kenneth-lowande
William Lowry,American,Professor,,http://polisci.wustl.edu/William_Lowry
Gary Miller,American,ProfessorEmeritus,,http://polisci.wustl.edu/GaryJ_Miller
Jacob Montgomery,Methodology,AssistantProfessor,,http://polisci.wustl.edu/faculty/jacob-montgomery
Andrew  Reeves,American,AssociateProfessor,,http://polisci.wustl.edu/faculty/andrew-reeves
Betsy Sinclair,Methodology,AssociateProfessor,,http://polisci.wustl.edu/faculty/betsy-sinclair
Steven S. Smith,American,KateM.GreggDistinguishedProfessorofSocialScience,,http://polisci.wustl.edu/steven_smith
James F.  Spriggs II,American,SidneyW.SouersProfessorofGovernment,,http://polisci.wustl.edu/james_spriggs
Michael M. Bechtel,International Political Economy,AssociateProfessor,,http://polisci.wustl.edu/faculty/michael-bechtel
Brian Crisp,Comparative,Professor,,http://polisci.wustl.edu/pages.wustl.edu/crisp
Matthew Gabel,International Political Economy,"Professor,DepartmentofPoliticalScience",,http://polisci.wustl.edu/Matthew_Gabel
James L. Gibson,Comparative,SidneyW.SouersProfessorofGovernment,,http://polisci.wustl.edu/James_Gibson
Sunita Parikh,Comparative,AssociateProfessor,,http://polisci.wustl.edu/Sunita_Parikh
Guillermo Rosas,Comparative,"AssociateProfessor,DepartmentofPoliticalScience",,http://polisci.wustl.edu/guillermo_rosas
Norman Schofield,Formal Theory,Dr.WilliamTaussigProfessorofPoliticalEconomy,,http://polisci.wustl.edu/norman_schofield
Itai Sened,Formal Theory,"Professor,DepartmentofPoliticalScience",,http://polisci.wustl.edu/itai_sened
Margit Tavits,Comparative,Professor,,http://polisci.wustl.edu/margit_tavits
Randall Calvert,Formal Theory,ThomasF.EagletonUniversityProfessorofPublicAffairsandPoliticalScience,,http://polisci.wustl.edu/Randall_Calvert
Justin Fox,Formal Theory,AssociateProfessor,,http://polisci.wustl.edu/faculty/justin-fox
Keith  Schnakenberg,Formal Theory,AssistantProfessor,,http://polisci.wustl.edu/faculty/keith-schnakenberg
Norman Schofield,Formal Theory,Dr.WilliamTaussigProfessorofPoliticalEconomy,,http://polisci.wustl.edu/norman_schofield
Itai Sened,Formal Theory,"Professor,DepartmentofPoliticalScience",,http://polisci.wustl.edu/itai_sened
Michael M. Bechtel,International Political Economy,AssociateProfessor,,http://polisci.wustl.edu/faculty/michael-bechtel
Matthew Gabel,International Political Economy,"Professor,DepartmentofPoliticalScience",,http://polisci.wustl.edu/Matthew_Gabel
Jeff Gill,Methodology,"Professor,DepartmentofPoliticalScience,Arts&Sciences",,http://polisci.wustl.edu/Jeff_Gill
Jacob Montgomery,Methodology,AssistantProfessor,,http://polisci.wustl.edu/faculty/jacob-montgomery
Betsy Sinclair,Methodology,AssociateProfessor,,http://polisci.wustl.edu/faculty/betsy-sinclair
Clarissa Rile Hayward,Political Theory,"AssociateProfessor,PoliticalScience",,http://polisci.wustl.edu/ClarissaRile_Hayward
Frank Lovett,Political Theory,AssociateProfessor,,http://polisci.wustl.edu/Frank_Lovett
Ian MacMullen,Political Theory,AssociateProfessor,,http://polisci.wustl.edu/IanR_MacMullen
Andrew Rehfeld,Political Theory,AssociateProfessor,,http://polisci.wustl.edu/andrew_rehfeld
